"","intercept","r_squared","filter","terms","sh_filter","sot_filter","players"
"75","log(goals - pk_standard), pos, squad, dist_standard, age",0.774715314518683,"goals > 1 & goals != pk_standard",5,"shots > 5","sot > 0",NA
"76","sqrt(goals - pk_standard), pos, squad, poly(dist_standard, 2), shots, games, age, x_g_expected, overall",0.773116029759625,"none",10,"shots > 0","sot > 0",1122
"77","log(goals - pk_standard), pos, dist_standard, sh_per_game, age, x_g_expected",0.769950075425112,"goals > 0 & goals != pk_standard",6,"shots > 0","sot > 0",830
"78","log(goals - pk_standard), pos, squad, dist_standard, so_t_per_90_standard",0.769461789508444,"goals > 1 & goals != pk_standard",5,"shots > 5","sot > 0",NA
"79","goals, pos, squad, poly(dist_standard, 2), shots, games, age, x_g_expected, overall",0.76765130412059,"none",10,"shots > 0","sot > 0",1122
"80","log(goals - pk_standard), pos, squad, dist_standard, np_g_minus_x_g_expected",0.766332249140396,"goals > 1 & goals != pk_standard",5,"shots > 5","sot > 0",NA
"81","log(goals - pk_standard), pos, squad, dist_standard, g_minus_x_g_expected",0.766222492110605,"goals > 1 & goals != pk_standard",5,"shots > 5","sot > 0",NA
"82","log(goals - pk_standard), pos, squad, shots, games, age, g_minus_x_g_expected",0.764409665550696,"goals > 1 & goals != pk_standard",7,"shots > 5","sot > 0",NA
"83","log(goals - pk_standard), pos, squad, dist_standard, g_per_sh_standard",0.763704235191504,"goals > 1 & goals != pk_standard",5,"shots > 5","sot > 0",NA
"84","log(goals - pk_standard), pos, squad, dist_standard, games",0.763682912898889,"goals > 1 & goals != pk_standard",5,"shots > 5","sot > 0",NA
"85","log(goals - pk_standard), shots, x_g_expected, pos, squad, dist_standard",0.763182963465823,"goals > 1 & goals != pk_standard",6,"shots > 5","sot > 0",NA
"86","log(goals - pk_standard), x_g_expected, pos, dist_standard, squad",0.762988626009989,"goals > 1 & goals != pk_standard",5,"shots > 5","sot > 0",NA
"87","log(goals - pk_standard), pos, squad, dist_standard, shots",0.762927449088199,"goals > 1 & goals != pk_standard",5,"shots > 5","sot > 0",NA
"88","log(goals - pk_standard), pos, squad, dist_standard, npx_g_expected",0.762434867317796,"goals > 1 & goals != pk_standard",5,"shots > 5","sot > 0",NA
"89","log(goals - pk_standard), pos, squad, dist_standard, fk_standard",0.761606642538196,"goals > 1 & goals != pk_standard",5,"shots > 5","sot > 0",NA
"90","log(goals - pk_standard), pos, squad, dist_standard, npx_g_per_sh_expected",0.761458911341156,"goals > 1 & goals != pk_standard",5,"shots > 5","sot > 0",NA
"91","log(goals), shots, pos, squad, dist_standard",0.759957229606491,"goals > 1",5,"shots > 5","sot > 0",NA
"92","log(goals - pk_standard), pos, squad, dist_standard",0.759494523678898,"goals > 1 & goals != pk_standard",4,"shots > 5","sot > 0",NA
"93","log(goals - pk_standard), pos, squad, dist_standard, so_t_percent_standard",0.759030514084193,"goals > 1 & goals != pk_standard",5,"shots > 5","sot > 0",NA
"94","log(goals - pk_standard), pos, squad, dist_standard, table_position",0.759023850626477,"goals > 1 & goals != pk_standard",5,"shots > 5","sot > 0",NA
"95","log(goals - pk_standard), pos, squad, dist_standard, season",0.7585891483397,"goals > 1 & goals != pk_standard",5,"shots > 5","sot > 0",NA
"96","log(goals - pk_standard), x_g_expected, pos, dist_standard, table_position",0.758009784679804,"goals > 1 & goals != pk_standard",5,"shots > 5","sot > 0",NA
"97","log(goals), sot, pos, squad, dist_standard",0.757959232606703,"goals > 1",5,"shots > 5","sot > 0",NA
"98","log(goals - pk_standard), x_g_expected, pos, dist_standard, squad_group",0.757917825493281,"goals > 1 & goals != pk_standard",5,"shots > 5","sot > 0",NA
"99","log(goals), pos, squad, dist_standard",0.755919782024342,"goals > 1",4,"shots > 5","sot > 0",NA
"100","log(goals - pk_standard), pos, dist_standard, age",0.742363506892931,"goals > 1 & goals != pk_standard",4,"shots > 5","sot > 0",NA
"101","log(goals), pos, squad, x_g_expected, shots",0.737506892757497,"goals > 1",5,"shots > 5","sot > 0",NA
"102","log(goals), shots, pos, squad",0.735914286393341,"goals > 1",4,"shots > 5","sot > 0",NA
"103","log(goals - pk_standard), shots, x_g_expected, pos, squad",0.735853046231181,"goals > 1 & goals != pk_standard",5,"shots > 5","sot > 0",NA
"104","log(goals - pk_standard), x_g_expected, pos, dist_standard",0.73529308769179,"goals > 1 & goals != pk_standard",4,"shots > 5","sot > 0",NA
"105","log(goals - pk_standard), shots, x_g_expected, pos, dist_standard",0.735115172988341,"goals > 1 & goals != pk_standard",5,"shots > 5","sot > 0",NA
"106","log(goals - pk_standard), squad, pos, age",0.734559211496382,"goals > 1 & goals != pk_standard",4,"shots > 5","sot > 0",NA
"107","sqrt(goals), shots, pos, squad",0.733612669844868,"goals > 1",4,"shots > 5","sot > 0",NA
"108","goals, shots, pos, squad",0.731271807198443,"goals > 1",4,"shots > 5","sot > 0",NA
"109","dist_standard, squad, pos, age",0.730119063135614,"goals > 1 & goals != pk_standard",4,"shots > 5","sot > 0",NA
"110","log(goals), pos, squad",0.727527633354579,"goals > 1 & goals != pk_standard",3,"shots > 5","sot > 0",NA
"111","log(goals), pos, squad, x_g_expected",0.725969869016709,"goals > 1",4,"shots > 5","sot > 0",NA
"112","log(goals), pos, squad",0.7258277243197,"goals > 1",3,"shots > 5","sot > 0",NA
"113","sqrt(goals), pos, squad",0.72344827186213,"goals > 1",3,"shots > 5","sot > 0",NA
"114","log(goals - pk_standard), pos, squad",0.722209568019799,"goals > 1 & goals != pk_standard",3,"shots > 5","sot > 0",NA
"115","sqrt(goals - pk_standard), pos, squad",0.720366038244587,"goals > 1 & goals != pk_standard",3,"shots > 5","sot > 0",NA
"116","log(goals - pk_standard), squad, dist_standard, shots, games, age, g_minus_x_g_expected",0.712495337866432,"goals > 1 & goals != pk_standard",7,"shots > 5","sot > 0",NA
"117","log(goals), shots, pos, squad",0.705123838168598,"goals > 2",4,"shots > 5","sot > 0",NA
"118","sqrt(goals), shots, pos",0.698173376655011,"goals > 1",3,"shots > 5","sot > 0",NA
"119","sqrt(goals), shots, pos, sot",0.697670462587276,"goals > 1",4,"shots > 5","sot > 0",NA
"120","sqrt(goals), shots, pos",0.683604215703628,"goals > 1 & shots > 10",3,"shots > 5","sot > 0",NA
"121","sqrt(goals), pos, squad",0.683513331578945,"none",3,"shots > 5","sot > 0",NA
"122","sqrt(goals), shots, pos",0.672622183382159,"goals > 2",3,"shots > 5","sot > 0",NA
"123","sqrt(goals), shots, pos",0.658424069052027,"none",3,"shots > 5","sot > 0",NA
"124","log(goals - pk_standard), pos, squad, dist_standard, sh_per_game, age, g_minus_x_g_expected, shots",0.626128507895469,"goals > 0 & goals != pk_standard & pos != ""DF""",8,"shots > 0","sot > 0",603
"125","log(goals - pk_standard), pos, squad, dist_standard, sh_per_game, age, g_minus_x_g_expected, x_g_expected",0.624883024395839,"goals > 0 & goals != pk_standard & pos != ""DF""",8,"shots > 0","sot > 0",603
"126","log(goals - pk_standard), pos, squad, dist_standard, sh_per_game, age, g_minus_x_g_expected",0.624814320503241,"goals > 0 & goals != pk_standard & pos != ""DF""",7,"shots > 0","sot > 0",603
"127","log(goals - pk_standard), pos, squad, poly(dist_standard, 2), sh_per_game, age, g_minus_x_g_expected",0.624151547312761,"goals > 0 & goals != pk_standard & pos != ""DF""",8,"shots > 0","sot > 0",603
"128","log(goals), squad, pos, age, games, shots, sot, so_t_percent_standard, g_minus_x_g_expected",0.6165074205088,"goals > 0 & goals != pk_standard & pos != ""DF""",9,"shots > 0","sot > 0",603
"129","sqrt(goals), shots, pos",0.577899871290462,"goals > 4",3,"shots > 5","sot > 0",NA
"130","log(goals), squad, shots, pos, games, sot",0.551349091169458,"goals > 0 & goals != pk_standard & pos != ""DF""",6,"shots > 0","sot > 0",603
"131","log(goals), squad, shots, pos, games, sot, so_t_percent_standard",0.551024868704543,"goals > 0 & goals != pk_standard & pos != ""DF""",7,"shots > 0","sot > 0",603
"132","log(goals), squad, shots, pos, games, sot, g_minus_x_g_expected",0.550777437581099,"goals > 0 & goals != pk_standard & pos != ""DF""",7,"shots > 0","sot > 0",603
"133","log(goals - pk_standard), squad, shots, pos, games",0.54388314158949,"goals > 0 & goals != pk_standard & pos != ""DF""",5,"shots > 0","sot > 0",603
